title,description,status,priority,estimated_hours
MarketInfo - Información de mercado,Archivo: MarketInfoScreen.tsx | Navegación: MarketInfo | APIs: getMarketData() | Desde HomeFeed o menú financiero,backlog,high,14
Promotions - Promociones,Archivo: PromotionsScreen.tsx | Navegación: Promotions | APIs: getPromotions() | Desde MarketInfo,backlog,low,6
PromotionDetail - Detalle de promoción,Archivo: PromotionDetailScreen.tsx | Navegación: PromotionDetail | Desde Promotions,backlog,low,4
Herramientas - Herramientas financieras,Archivo: HerramientasScreen.tsx | Navegación: Herrramientas | Desde menú financiero,backlog,medium,8
Inversionista - Panel de inversionista,Archivo: InversionistaScreen.tsx | Navegación: Inversionista | Desde Inversiones,backlog,high,16
PlanificadorFinanciero - Planificador financiero,Archivo: PlanificadorFinancieroScreen.tsx | Navegación: PlanificadorFinanciero | Desde menú financiero,backlog,high,14
CazaHormigas - Caza hormigas,Archivo: CazaHormigasScreen.tsx | Navegación: CazaHormigas | Desde menú financiero,backlog,medium,10
ReportesAvanzados - Reportes avanzados,Archivo: ReportesAvanzadosScreen.tsx | Navegación: ReportesAvanzados | Desde menú financiero,backlog,medium,12
SimuladorInversiones - Simulador de inversiones,Archivo: InvestmentSimulator.tsx | Navegación: Simulator | APIs: processPayment() | Desde Settings o menús especiales,backlog,high,16
IRIChatScreen - Chat con IRI (IA),Archivo: IRIChatScreen.tsx | Navegación: IRIChat | APIs: getIRIChatMessages() | Desde menú especial o Communities,backlog,high,18
